"","state_name","sum"
"1","alabama",114
"2","arizona",166
"3","arkansas",63
"4","california",1312
"5","colorado",107
"6","connecticut",75
"7","delaware",17
"8","district of columbia",93
"9","florida",440
"10","georgia",301
"11","hawaii",2
"12","idaho",43
"13","illinois",380
"14","indiana",134
"15","iowa",83
"16","kansas",695
"17","kentucky",98
"18","louisiana",160
"19","maine",48
"20","maryland",135
"21","massachusetts",219
"22","michigan",143
"23","minnesota",174
"24","mississippi",52
"25","missouri",157
"26","montana",18
"27","nebraska",39
"28","nevada",126
"29","new hampshire",18
"30","new jersey",152
"31","new mexico",29
"32","new york",765
"33","north carolina",198
"34","north dakota",8
"35","ohio",318
"36","oklahoma",173
"37","oregon",158
"38","pennsylvania",349
"39","rhode island",28
"40","south carolina",86
"41","south dakota",17
"42","tennessee",173
"43","texas",1095
"44","utah",52
"45","vermont",23
"46","virginia",172
"47","washington",209
"48","west virginia",46
"49","wisconsin",93
"50","wyoming",8
