"","state_name","sum"
"1","alabama",364
"2","arizona",345
"3","arkansas",297
"4","california",3027
"5","colorado",343
"6","connecticut",340
"7","delaware",75
"8","district of columbia",373
"9","florida",1260
"10","georgia",918
"11","hawaii",2
"12","idaho",101
"13","illinois",1012
"14","indiana",447
"15","iowa",210
"16","kansas",2567
"17","kentucky",456
"18","louisiana",531
"19","maine",166
"20","maryland",481
"21","massachusetts",646
"22","michigan",446
"23","minnesota",366
"24","mississippi",191
"25","missouri",563
"26","montana",71
"27","nebraska",117
"28","nevada",291
"29","new hampshire",97
"30","new jersey",581
"31","new mexico",111
"32","new york",2167
"33","north carolina",805
"34","north dakota",27
"35","ohio",1209
"36","oklahoma",596
"37","oregon",388
"38","pennsylvania",968
"39","rhode island",87
"40","south carolina",339
"41","south dakota",44
"42","tennessee",708
"43","texas",2871
"44","utah",170
"45","vermont",36
"46","virginia",648
"47","washington",547
"48","west virginia",186
"49","wisconsin",217
"50","wyoming",47
