"","state_name","sum"
"1","alabama",111
"2","arizona",78
"3","arkansas",123
"4","california",935
"5","colorado",125
"6","connecticut",84
"7","delaware",36
"8","district of columbia",142
"9","florida",394
"10","georgia",307
"11","idaho",29
"12","illinois",376
"13","indiana",136
"14","iowa",69
"15","kansas",747
"16","kentucky",176
"17","louisiana",191
"18","maine",56
"19","maryland",169
"20","massachusetts",219
"21","michigan",127
"22","minnesota",116
"23","mississippi",68
"24","missouri",172
"25","montana",10
"26","nebraska",34
"27","nevada",77
"28","new hampshire",42
"29","new jersey",238
"30","new mexico",32
"31","new york",674
"32","north carolina",277
"33","north dakota",13
"34","ohio",411
"35","oklahoma",185
"36","oregon",109
"37","pennsylvania",343
"38","rhode island",30
"39","south carolina",118
"40","south dakota",18
"41","tennessee",218
"42","texas",999
"43","utah",46
"44","vermont",11
"45","virginia",210
"46","washington",170
"47","west virginia",50
"48","wisconsin",61
"49","wyoming",12
