"","address","frequency","lon","lat","result"
"1","    St. James, NY",1,-73.1526623,40.8754335,"8 Hobson Ave, St James, NY 11780, USA"
"2","   NEW YORK CITY ",2,-74.0059728,40.7127753,"11 Centre St, New York, NY 10007, USA"
"5"," Alabama",1,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"6"," atlanta",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"7"," Australia",1,133.775136,-25.274398,"Ghan NT 0872, Australia"
"8"," cheshire",1,-2.6103158,53.2326344,"107 Forest Rd, Sandiway, Northwich CW8 2DZ, UK"
"9"," Corcoran",1,-93.5474577,45.0952417,"20102 Co Rd, Corcoran, MN 55340, USA"
"10"," Fargo, ND",1,-96.7898034,46.8771863,"631 1st Ave N, Fargo, ND 58102, USA"
"11"," heart ",1,-95.6393167,37.0412191,"1400 W 4th St, Coffeyville, KS 67337, USA"
"12"," KY",1,-84.2700179,37.8393332,"148 Lost Fork Rd, Richmond, KY 40475, USA"
"13"," laguna",1,-117.7853568,33.5427189,"333 3rd St, Laguna Beach, CA 92651, USA"
"14"," LI, NY",1,-73.134961,40.789142,"1125 1st Ave, Ronkonkoma, NY 11779, USA"
"15"," Miami",1,-80.1917902,25.7616798,"1213 Brickell Ave, Miami, FL 33131, USA"
"16"," Music ",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"17"," russvegas ",1,-93.1400976,35.3083199,"100-298 W Birch St, Russellville, AR 72802, USA"
"18"," Texas",1,-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA"
"19"," the block",1,-77.1884557,38.8315871,"4221 John Marr Dr, Annandale, VA 22003, USA"
"20"," U.P. michigan ",1,-87.3952109,46.5374764,"807 Champion St, Marquette, MI 49855, USA"
"21"," USA",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"24","$an Diego, CA",1,-117.1610838,32.715738,"998 Fourth Ave, San Diego, CA 92101, USA"
"26","::1",1,-74.0133795,40.7127431,"1 World Trade Center, New York, NY 10006, USA"
"27",":3",1,-95.6372785,37.0375471,"1314 W 7th St, Coffeyville, KS 67337, USA"
"32","<U+0001F1E8><U+0001F1E6> Canada",1,-106.346771,56.130366,"Pinehouse, SK S0J 2B0, Canada"
"33","<U+0001F1E8><U+0001F1E6> Ontario, Canada ",1,-85.323214,51.253775,"Ontario P0T, Canada"
"35","<U+0001F332>Choiceland",1,-104.4861732,53.4916837,"200 1st Ave, Choiceland, SK S0J 0M0, Canada"
