"","address","frequency","lon","lat","result"
"2","   Texas",1,-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA"
"3"," Athens, Texas ",1,-95.8555207,32.2048735,"125 N Prairieville St, Athens, TX 75751, USA"
"4"," Crowley Texas ",1,-97.3625172,32.5790251,"100 S Beverly St, Crowley, TX 76036, USA"
"5"," Georgia",1,-82.9000751,32.1656221,"1003 GA-31, Helena, GA 31037, USA"
"6"," Lake Charles, LA",1,-93.2173758,30.2265949,"949 Ryan St, Lake Charles, LA 70601, USA"
"7"," LI, NY",1,-73.134961,40.789142,"1125 1st Ave, Ronkonkoma, NY 11779, USA"
"8"," Mayo",1,-95.992371,36.1510981,"115 W 5th St, Tulsa, OK 74103, USA"
"9"," New Jersey, USA",1,-74.4056612,40.0583238,"Jackson, NJ 08527, USA"
"10"," New York City",1,-74.0059728,40.7127753,"11 Centre St, New York, NY 10007, USA"
"11"," Ohio",1,-82.907123,40.4172871,"1664 Township Hwy 165, Ashley, OH 43003, USA"
"12"," Ridgefield, CT",1,-73.4975412,41.2840635,"25 Prospect St, Ridgefield, CT 06877, USA"
"13"," USA",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"14"," Yogyakarta, IND",1,110.3694896,-7.7955798,"Jl. Mataram No.30, Suryatmajan, Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213, Indonesia"
"16",".Australia.",1,133.775136,-25.274398,"Ghan NT 0872, Australia"
"18","@Home",2,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"20","~Wonderland~",1,-79.5394625,43.8430176,"International Street, Vaughan, ON L6A, Canada"
"22","+62274",1,-89.436391,38.1041034,"IL-13, Pinckneyville, IL 62274, USA"
"25","<U+0001F1E7><U+0001F1FF>BELIZE<U+0001F1E7><U+0001F1FF>",1,-88.49765,17.189877,"Belize District, Belize"
"31","<U+0001F9E1>Knoxville, Tennessee<U+0001F9E1>",1,-83.9294564,35.9544013,"John C. Hodges Library, Knoxville, TN 37916, USA"
"37","105, 1851 Kirschner Road ",1,-119.4573497,49.8803703,"1851 Kirschner Rd, Kelowna, BC V1Y 4N7, Canada"
"38","1060 W. Addison",1,-87.6560538,41.9474473,"1053 W Waveland Ave, Chicago, IL 60613, USA"
"39","15",1,-96.0487619,36.3639365,"14415 N 52nd W Ave, Skiatook, OK 74070, USA"
"40","1709 DundasSt London ON Canada",1,-81.1862257,43.0015728,"1709 Dundas St, London, ON N5W 3E1, Canada"
"41","1893 Sheridan Rd, Highland Park, IL 60035",2,-87.7976201,42.1868849,"1893 Sheridan Rd, Highland Park, IL 60035, USA"
"42","22312",1,-77.1542684,38.8218452,"6451 Autumn Glen Ct, Alexandria, VA 22312, USA"
"43","301",1,-95.706922,37.2256801,"301 N Pennsylvania Ave, Independence, KS 67301, USA"
"44","301. ",1,-95.706922,37.2256801,"301 N Pennsylvania Ave, Independence, KS 67301, USA"
"45","318, Louisiana",1,-92.4513737,31.2975552,"2011 Lee St, Alexandria, LA 71301, USA"
"46","330",1,-93.2723235,37.1791758,"1965 S Fremont Ave, Springfield, MO 65804, USA"
"47","336",3,-73.9824284,40.7821738,"336 West End Ave, New York, NY 10023, USA"
"48","401",1,-74.0027552,40.718954,"401 Broadway, New York, NY 10013, USA"
"50","5/5",2,-73.936178,40.855517,"620 Fort Washington Ave, New York, NY 10040, USA"
"51","504",3,-94.8719177,36.8759146,"504 1st Ave NE, Miami, OK 74354, USA"
"52","6 W 33rd Street, NY 10001",1,-73.985845,40.7480127,"10 West 33rd Street, New York, NY 10001, USA"
"54","731 Highway 35 Ocean, NJ 07712",1,-74.0381143,40.2276709,"731 NJ-35, Ocean Township, NJ 07712, USA"
"55","777",1,-96.6391836,38.0389075,"Ranch, Cassoday, KS 66842, United States"
"56","816.",1,-94.5956417,39.0509599,"801 Westport Rd, Kansas City, MO 64111, USA"
"57","859",1,-84.5180318,37.950927,"780 E Brannon Rd, Nicholasville, KY 40356, USA"
"58","918",1,-95.9562013,36.1476118,"2446 E 11th St, Tulsa, OK 74104, USA"
"59","A haunted house",1,-94.6018158,39.0995887,"1401 W 13th St, Kansas City, MO 64102, USA"
"61","Abbeville, La",1,-92.1342921,29.9746502,"122 N St Charles St, Abbeville, LA 70510, USA"
"62","Abbeville, LA",2,-92.1342921,29.9746502,"122 N St Charles St, Abbeville, LA 70510, USA"
"63","Aberdeen, Maryland",1,-76.1641197,39.5095556,"3 W Bel Air Ave, Aberdeen, MD 21001, USA"
"64","Aberdeen, SD",2,-98.4864829,45.4646985,"25 Market St, Aberdeen, SD 57401, USA"
